creator_account_id,country_iso,company_size,parent_company,Parent_Company_ID
001i000001PiqoAAAR,CH,<10,,
001i000001Pir9FAAR,DE,100-500,,
001i000001Pis0GAAR,DE,1000-10000,,
001i000001Pisc9AAB,DE,Unknown,,
001i000001PisFeAAJ,DE,1000-10000,,
001i000001PisPNAAZ,DE,100-500,,
001i000001PissBAAR,DE,Unknown,,
001i000001PisvKAAR,DE,500-1000,,
001i000001Pit0eAAB,DE,Unknown,,
001i000001PjBPQAA3,GB,10-100,Beckhoff Automation GmbH & Co. KG,
001VW000003pUojYAE,DE,,,
0013100001auNvHAAU,DE,<10,,
0013100001emERzAAM,DE,100-500,Huber+Suhner AG,
0013100001fqBGFAA2,DE,Unknown,,
0013100001fquDfAAI,DE,100-500,Cohu GmbH,
0013100001gaC4vAAE,DE,10-100,,
0013100001hovboAAA,DE,Unknown,,
0013100001k797JAAQ,DE,10-100,,
0013100001kc814AAA,DE,<10,,
0013100001ldCKSAA2,DE,Unknown,,
0013100001mHsesAAC,DE,Unknown,KNF Unternehmensgruppe,
0013100001nm7f6AAA,DE,10-100,,
0015A00001uWuATQA0,DE,Unknown,BMW AG (Group Munich),
0015A00001wx4RmQAI,DE,Unknown,,
0015A00001x0K09QAE,AT,500-1000,,
0015A00001zQKNEQA4,DE,<10,Siemens Aktiengesellschaft,
0015A0000208A4jQAE,DE,10-100,,
0015A0000208rm0QAA,CH,Unknown,ams International AG (Switzerland),
0015A000020AASJQA4,DE,100-500,,
0015A000020C6udQAC,DE,Unknown,,
0015A000021TcxzQAC,SI,<10,,
0015A0000227uPIQAY,CH,100-500,,0018X000034YG41
0015A000022X3CDQA0,DE,100-500,,
0015A000026WhwXQAS,DE,Unknown,,
0015A00002BiW27QAF,CH,100-500,,
0015A00002D5zGLQAZ,DE,<10,,
0015A00002D5ztdQAB,DE,Unknown,V-ZUG AG,
0015A00002D73plQAB,DE,Unknown,,
0015A00002J5eu6QAB,DE,Unknown,Siemens Aktiengesellschaft,
0015A00002J6sTyQAJ,DE,100-500,,
0015A00002J77R2QAJ,DE,10-100,,
0015A00002Pur0MQAR,DE,Unknown,Siemens Aktiengesellschaft,
0015A00002PvEusQAF,DE,Unknown,,
0015A00002PwRAGQA3,DE,Unknown,Eppendorf AG,
0015A00002PyK8FQAV,CH,10-100,,
0015A00002V8jnKQAR,DE,Unknown,iSi Automotive Austria GmbH,
0015A00002XMf2rQAD,DE,10-100,,
0016e00002f4GznAAE,CH,10-100,ams International AG (Switzerland),
0016e00002jg6NJAAY,AT,Unknown,,
0016e00002jj2mkAAA,DE,Unknown,,
0016e00002jjP9VAAU,DE,Unknown,,
0016e00002svJy9AAE,CH,100-500,,
0016e00002svoZ0AAI,DE,Unknown,,
0016e00002XNCYKAA5,DE,Unknown,Siemens Aktiengesellschaft,
0016e00002XPZoaAAH,DE,Unknown,,
0018X000030wunmQAA,DE,Unknown,,
0018X000035LALWQA4,DE,Unknown,,
0018X00003FsuoNQAR,DE,,,
0018X00003GIgHTQA1,DE,,,
0018X00003HUVYdQAP,HU,,,
0018X00003PYlB1QAL,DE,,,
001i000001J6b8kAAB,DE,10-100,,
001i000001J6bGPAAZ,AT,100-500,,
001i000001J6bMxAAJ,DE,100-500,,
001i000001J6bSHAAZ,DE,1000-10000,,001i000001J6jot
001i000001J6c0MAAR,DE,Unknown,,
001i000001J6g1EAAR,DE,<10,,
001i000001J6giPAAR,DE,10-100,Eppendorf AG,
001i000001J6iRmAAJ,DE,100-500,Eppendorf AG,
001i000001J6j3fAAB,DE,Unknown,Siemens Aktiengesellschaft,
001i000001J6k3jAAB,GB,<10,,
001i000001J6khcAAB,CH,1000-10000,Siemens Aktiengesellschaft,
001i000001J6kTzAAJ,CZ,1000-10000,,
001i000001J6lbaAAB,DE,Unknown,,
001i000001J6PleAAF,DE,1000-10000,Siemens Aktiengesellschaft,
001i000001J6PVjAAN,DE,500-1000,,
001i000001J6QHQAA3,DE,Unknown,Siemens Aktiengesellschaft,
001i000001J6RGtAAN,CH,500-1000,,
001i000001J6rNxAAJ,DE,10000-50000,,
001i000001J6rULAAZ,DE,100-500,,
001i000001J6SuUAAV,DE,500-1000,,
001i000001J6twgAAB,DE,Unknown,,
001i000001J6UrPAAV,DE,100001+,Bayerische Motoren Werke Aktiengesellschaft,
001i000001J6uxjAAB,DE,100-500,Eppendorf AG,
001i000001J6UzJAAV,DE,100-500,Siemens Aktiengesellschaft,
001i000001J6w5xAAB,DE,1000-10000,Siemens Aktiengesellschaft,
001i000001J6YFnAAN,DE,1000-10000,,
001i000001J6YFOAA3,DE,Unknown,Siemens Aktiengesellschaft,
001i000001J6YG2AAN,DE,Unknown,,
001i000001J72FiAAJ,DE,500-1000,,
001i000001KEAmqAAH,DE,Unknown,Siemens Aktiengesellschaft,
001i000001KHhcAAAT,AT,Unknown,,0013100001nkvxQ
001i000001Ls7skAAB,DE,<10,Siemens Aktiengesellschaft,
001i000001Lv91kAAB,AT,Unknown,Siemens Aktiengesellschaft,
001i000001Mt65kAAB,DE,Unknown,Siemens Aktiengesellschaft,
001i000001Mt6BpAAJ,DE,100-500,,
001i000001Mt6F3AAJ,DE,10-100,,
001i000001MtiFbAAJ,DE,Unknown,iSi Automotive Austria GmbH,
001i000001MtiJ9AAJ,GB,10-100,,
001i000001O6ZvhAAF,DE,100001+,Bayerische Motoren Werke Aktiengesellschaft,
001i000001O9hguAAB,GB,<10,ams International AG (Switzerland),
001i000001Pin3iAAB,DE,<10,,
001i000001PinVzAAJ,DE,Unknown,,
001i000001Pio6nAAB,DE,10-100,,
001i000001PiodiAAB,DE,<10,,
001i000001PiognAAB,BG,1000-10000,,
001i000001PipBkAAJ,DE,Unknown,,
001i000001Piq9sAAB,DE,1000-10000,Siemens Aktiengesellschaft,
001i000001PiqIWAAZ,CH,100-500,KNF Unternehmensgruppe,
001i000001PiqlKAAR,DE,1000-10000,,
001i000001PiqTiAAJ,CH,100-500,,
001i000001Pir92AAB,DE,Unknown,,
001i000001PirNJAAZ,DE,100-500,,
001i000001PirzHAAR,DE,10-100,Siemens Aktiengesellschaft,
001i000001Pis7hAAB,DE,500-1000,,
001i000001PisicAAB,DE,100-500,,
001i000001PisiyAAB,DE,1000-10000,,
001i000001PisjGAAR,CH,1000-10000,,
001i000001PisOUAAZ,CH,1000-10000,,
001i000001PisrIAAR,DE,1000-10000,,
001i000001PisROAAZ,CH,1000-10000,,
001i000001PisruAAB,DE,<10,,
001i000001PisxiAAB,DE,Unknown,,
001i000001TvLbaAAF,GB,<10,,
001i000001YCGmBAAX,CZ,Unknown,Siemens Aktiengesellschaft,
001VW00000HkdizYAB,CH,,,
0013100001atRz8AAE,DE,Unknown,Mektec Europe GmbH (Holding),
0013100001bv8XoAAI,PL,10-100,,
0013100001bZgIqAAK,DE,10-100,,
0013100001ekNhYAAU,DE,Unknown,Corning Optical Communications GmbH & Co. KG,0013100001fsfSs
0013100001elHIPAA2,SK,100-500,,
0013100001em5q8AAA,HU,100-500,Kongsberg Actuation Systems Ltd,
0013100001hn67PAAQ,CH,10-100,Eaton Corporation,
0013100001hnPOxAAM,RO,<10,,
0013100001hphXcAAI,PL,100-500,Somfy ActivitÈs SA,
0013100001jThG2AAK,DE,100-500,,
0013100001kckFFAAY,DE,100-500,,
0013100001lbdOlAAI,DE,100-500,Sartorius AG,
0013100001lbPfvAAE,PL,1000-10000,,
0013100001lVuf1AAC,PL,Unknown,,0018X00003MX0Jj
0013100001mHs8qAAC,PL,1000-10000,,
0013100001mILthAAG,DE,100-500,,
0013100001mJVnPAAW,CZ,<10,IMI International s.r.o,
0013100001mzwTVAAY,SI,Unknown,,
0013100001rsmgpAAA,DE,10-100,,
0015A00001tvzYJQAY,GB,<10,,
0015A000020a9M1QAI,PL,100-500,,
0015A000020aOxbQAE,BG,1000-10000,,
0015A000021QdjRQAS,DE,1000-10000,,
0015A000021RSp4QAG,PL,500-1000,,
0015A0000225fpwQAA,DE,Unknown,,
0015A0000228anXQAQ,HU,Unknown,,
0015A0000228hqAQAQ,DE,Unknown,Alfra GmbH,
0015A000022xdk2QAA,PL,Unknown,,
0015A000023PvfdQAC,DE,10-100,Norsk Hydro ASA,
0015A000023RFrZQAW,PL,500-1000,,001i000001Pirta
0015A000025jYILQA2,RO,<10,,
0015A000027B8nCQAS,DE,<10,,
0015A000029n0KpQAI,PL,<10,,
0015A00002CjN83QAF,SI,<10,,
0015A00002CkCeFQAV,PL,<10,,
0015A00002ClSCPQA3,HU,100-500,,
0015A00002D5bqFQAR,PL,Unknown,,
0015A00002D5zHJQAZ,PL,100-500,,
0015A00002D62qDQAR,PL,Unknown,,
0015A00002D6eqiQAB,PL,100-500,Northvolt AB,
0015A00002D6HyPQAV,BG,1000-10000,,
0015A00002D6L6dQAF,HR,Unknown,,
0015A00002D72X1QAJ,DE,10-100,,
