supplier_id,name,business_classification,technology_name,service_level_classification
198,MAQUINADOS TECNOLOGICOS DEL CENTRO,Evaluating,CNC,4 - pretty good
199,"MKE Machine, Inc.",,CNC,
200,MNT Machine Inc.,,CNC,
201,Machine Time Inc.,,CNC,
202,Makro Machinery,,CNC,
203,Max Precision Machine Inc.,,CNC,
204,Mecaniek Chevalier,Evaluating,CNC,2 - pretty bad
205,Miller Precision,,CNC,
206,Mirfo Machine Tools SRL,Evaluating,CNC,1 - aweful
207,Morey Machine & Manufacturing,,CNC,
208,Motor Control Technology,,CNC,
209,Nityanand Udyog,,CNC,
210,OPUS,Evaluating,CNC,4 - so/so
211,Offen Design and MFG,,CNC,
212,Paragon Machine Co.,,CNC,
213,Phoenix Precision Machining,,CNC,
214,Prora,Evaluating,CNC,4 - so/so
215,Pulsar Manufacturing,,CNC,
216,QL Precision Inc.,,CNC,
217,Resultamper Metalomecânica,Evaluating,CNC,2 - pretty bad
218,Retrotarget,Evaluating,CNC,3 - so/so
219,S&S Prototype,,CNC,
220,SERVICIOS INDUSTRIALES TIM,Evaluating,CNC,4 - pretty good
221,SOTELO CNC PRODUCTION PRECISION S. DE R.L DE C.V,Evaluating,CNC,4 - pretty good
222,"Satisfaction Machine Group, LLC",,CNC,
223,Seeräuber,Evaluating,CNC,4 - pretty good
224,Servicios y Manufactura de Partes Especiales (SYMPE),Evaluating,CNC,4 - pretty good
225,"Sio Cnc Machining, Inc.",,CNC,
226,Supreme Manufacturing Group,,CNC,
227,Systomatic Inc,,CNC,
228,TERNPLAS Kunststofftechnik,Evaluating,CNC,1 - aweful
229,TVM Precision Machining,,CNC,
230,TVT Precision,,CNC,
231,Testing Tylers Hubs,,CNC,
232,Toolmakers Precisie Specials,Evaluating,CNC,1 - aweful
233,Trowbridge Engineering,,CNC,
234,Upbuild Fabrication,,CNC,
235,WZK Sp. z o.o.,Evaluating,CNC,1 - aweful
236,Wagler Machining LLC,,CNC,
237,"WanDaAn Precision Technology Co., Ltd",,CNC,
238,Xenium CNC,,CNC,
239,Zümre Makina,,CNC,
240,"iLam Precision, Inc.",,CNC,
344,Zenith Precision,Offboarded,CNC,4 - pretty good
702,"Ningfeng Hardware Co., Ltd",Challenger,CNC,4 - pretty good
